ALCOHOLTIME,POLICE_ATTEND,SPEED_ZONE,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,LONGITUDE,LATITUDE,class
0.0,0.0,70.0,0.0,1.0,0.0,1.0,1.0,1.0,146.27709,-38.18324,0
0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,2.0,144.65409,-37.7252,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.22042,-37.06722,4
0.0,0.0,60.0,0.0,0.0,1.0,2.0,2.0,1.0,146.42663,-38.236,4
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,146.14289,-37.25835,1
0.0,0.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,142.46952,-37.92402,1
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,0.0,144.68596,-37.86021,0
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,141.74211,-38.24918,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.29154,-38.00034,1
0.0,0.0,100.0,0.0,1.0,0.0,1.0,1.0,1.0,145.13898,-38.10899,1
0.0,0.0,100.0,0.0,2.0,1.0,3.0,4.0,2.0,145.13665,-38.13514,1
0.0,0.0,80.0,0.0,0.0,1.0,4.0,3.0,2.0,145.326,-38.02878,3
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,143.59424,-37.07,1
0.0,0.0,80.0,0.0,0.0,2.0,0.0,1.0,1.0,145.03109,-38.28533,3
0.0,0.0,60.0,0.0,3.0,1.0,1.0,1.0,4.0,146.39493,-38.23355,4
0.0,0.0,100.0,0.0,0.0,1.0,2.0,2.0,1.0,146.1702,-38.24715,1
0.0,0.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,146.78241,-37.98446,4
0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,144.86192,-37.82455,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,144.94369,-37.82572,3
0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,2.0,144.83459,-37.82573,1
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.23717,-37.97268,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,145.83906,-37.53078,3
0.0,0.0,80.0,0.0,2.0,0.0,1.0,3.0,0.0,144.61811,-36.49819,3
0.0,0.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,144.83356,-37.82542,1
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,142.95157,-38.28599,1
0.0,0.0,70.0,0.0,0.0,2.0,3.0,2.0,3.0,145.40995,-38.06027,0
0.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,143.81416,-36.76437,3
0.0,0.0,60.0,0.0,0.0,2.0,0.0,1.0,0.0,144.3693,-38.17939,4
0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,146.82679,-38.12995,1
0.0,0.0,100.0,1.0,1.0,0.0,0.0,1.0,1.0,145.37511,-36.52121,1
0.0,0.0,100.0,0.0,0.0,1.0,2.0,3.0,0.0,142.62822,-38.39286,1
0.0,0.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,145.37798,-37.6824,3
0.0,0.0,70.0,0.0,0.0,1.0,2.0,3.0,0.0,144.91371,-37.83336,0
0.0,0.0,80.0,0.0,0.0,2.0,3.0,1.0,3.0,145.47015,-38.06807,3
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,0.0,145.52639,-37.65545,4
0.0,0.0,80.0,0.0,0.0,2.0,4.0,2.0,2.0,145.24616,-38.02625,3
0.0,0.0,60.0,0.0,1.0,0.0,1.0,1.0,1.0,143.80957,-37.52485,4
0.0,0.0,60.0,0.0,0.0,1.0,2.0,3.0,0.0,144.29191,-36.7573,4
0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,145.10026,-37.7854,1
0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,145.30673,-38.02623,3
0.0,0.0,70.0,0.0,1.0,0.0,0.0,1.0,0.0,144.66445,-37.8756,0
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,144.7367,-37.27913,4
0.0,0.0,60.0,0.0,1.0,0.0,1.0,0.0,1.0,144.35865,-38.07416,4
0.0,0.0,100.0,0.0,1.0,2.0,0.0,1.0,2.0,143.58978,-37.32705,1
0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,2.0,144.80598,-37.83464,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,145.59397,-37.90596,1
0.0,0.0,70.0,0.0,1.0,0.0,2.0,2.0,1.0,145.29966,-38.06259,0
0.0,0.0,100.0,0.0,1.0,0.0,1.0,1.0,1.0,144.11479,-35.65884,1
0.0,0.0,70.0,0.0,0.0,1.0,1.0,1.0,1.0,142.47756,-38.37365,0
0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,0.0,145.31064,-38.19904,1
0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,145.3824,-36.50935,1
0.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,144.81937,-38.36997,2
0.0,0.0,110.0,0.0,0.0,1.0,0.0,0.0,1.0,144.10036,-37.56641,5
0.0,0.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,143.19908,-38.43566,1
0.0,0.0,60.0,0.0,0.0,1.0,1.0,1.0,1.0,146.54243,-38.19442,4
0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,148.42192,-37.73968,1
0.0,0.0,70.0,0.0,0.0,2.0,0.0,0.0,2.0,142.06796,-38.31642,0
